2021-10-04 20:17:25 WARN  Logging:9 - Testing logger.
2021-10-10 17:27:02 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 17:27:49 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:27:55 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:28:01 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:28:06 INFO  Logging:82 - User was successfully logged in
2021-10-10 17:28:28 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 17:28:42 INFO  Logging:82 - User was successfully logged in
2021-10-10 17:43:13 WARN  Logging:33 - SQL Error detected.
2021-10-10 17:49:24 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 17:58:24 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:00:29 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:01:24 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:03:06 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:03:57 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:04:16 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:08:48 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:10:37 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 18:16:41 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 18:43:45 INFO  Logging:82 - User was successfully logged in
2021-10-10 18:44:15 INFO  Logging:82 - User was successfully logged in
2021-10-10 18:46:26 INFO  Logging:82 - User was successfully logged in
2021-10-10 18:47:45 INFO  Logging:82 - User was successfully logged in
2021-10-10 19:17:07 INFO  Logging:50 - User was successfully logged in
2021-10-10 19:17:33 INFO  Logging:82 - User was successfully logged in
2021-10-10 19:24:07 WARN  Logging:78 - User has used an incorrect password
2021-10-10 19:24:14 INFO  Logging:82 - User was successfully logged in
2021-10-10 19:25:51 INFO  Logging:82 - User was successfully logged in
2021-10-10 19:27:29 INFO  Logging:82 - User was successfully logged in
2021-10-10 19:35:24 INFO  Logging:50 - User was successfully logged in
2021-10-10 19:37:30 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 19:37:43 INFO  Logging:82 - User was successfully logged in
